created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Nov 26 14:13:52 +0000 2023,1728779104965845448,"@ganjarpranowo Sungguh menggembirakan tahu kalau di mana pun Pak Ganjar berada, selalu mendapat respon positif dari masyarakat. Calon presidenku emang keren banget!",0,0,0,0,in,893467017054896129,1728637081671622812,849juta,https://twitter.com/849juta/status/1728779104965845448
Sun Nov 26 14:13:46 +0000 2023,1728779082035531952,"@DavinaSastro Bule.., Bilang ke Capres ganjar kompetisi dia sama Capres Prabowo, Klo' emun'k Kampanyenya/setetmen Paslon no 2 pantes buat disanggah, dibantah ato malah diserang"" , ya silahken aja, berani'? Bukan ke YTH PA'K PRESIDEN JOKOWI+keluarganya Moso'k misih capres *nyerang PRESIDENnya?""",0,0,0,0,in,229361537,1728554658493567003,ggetzy,https://twitter.com/ggetzy/status/1728779082035531952
Sun Nov 26 14:13:42 +0000 2023,1728779064574361976,@Nikmatul_Sg @ganjarpranowo @mohmahfudmd Semoga upaya Pak Ganjar dan Pak Mahfud membawa perubahan positif yang dirasakan oleh seluruh masyarakat. ✊,0,0,0,2,in,1685283158366072832,1728761619566690620,xilas_art,https://twitter.com/xilas_art/status/1728779064574361976
Sun Nov 26 14:13:40 +0000 2023,1728779055099490731,@Nikmatul_Sg @ganjarpranowo @mohmahfudmd M3nangkan Ganjar Mahfud! Sukses dalam memimpin dan membawa perubahan positif bagi rakyat.,0,0,0,0,in,1503217192191799298,1728761619566690620,cae_caelia,https://twitter.com/cae_caelia/status/1728779055099490731
Sun Nov 26 14:13:32 +0000 2023,1728779023273050593,@ganjarpranowo Ganjar adalah Ganjar Pranowo untuk kemajuan bangsa Indonesia kedepannya,0,0,0,0,in,1601064960159027200,1728609942763176081,leeminjawa,https://twitter.com/leeminjawa/status/1728779023273050593
Sun Nov 26 14:13:32 +0000 2023,1728779020269957120,@tvOneNews The next our president's Ganjar Mahfud 🤟 we love you pak 🥰,0,0,0,0,en,1728777810406506496,1728096932944572747,kimthvber,https://twitter.com/kimthvber/status/1728779020269957120
Sun Nov 26 14:13:30 +0000 2023,1728779011680096501,"@kompascom Mantap bgtt, pak ganjar emg pendengar aspirasi terbaik",0,0,0,0,in,1697346183524704256,1728715261170356535,arraviabian,https://twitter.com/arraviabian/status/1728779011680096501
Sun Nov 26 14:13:29 +0000 2023,1728779007477571749,"@trufflewaatree @ganjarpranowo Memang kacau. Secara politik, jelas ini merugikan Ganjar.  Itu Hary Tanoe memang dasarnya rasis dan nepotisme.  Pernah sebut semua Tionghoa Indonesia dukung capres pilihan Jokowi.",0,0,0,0,in,1727926101698367488,1728768827364868229,maximilianners,https://twitter.com/maximilianners/status/1728779007477571749
Sun Nov 26 14:13:28 +0000 2023,1728779002662293676,"@ganjarpranowo Sebanyak ini dukungan Makassar pada pak Ganjar, sangat luar biasa",0,0,0,0,in,1702823391236079616,1728637081671622812,CooperBaxt45179,https://twitter.com/CooperBaxt45179/status/1728779002662293676
Sun Nov 26 14:13:24 +0000 2023,1728778986145063215,@officialinews_ Gaspolll dukung selalu pak Ganjar Mahfud. Semoga sukses dan semoga bisa menang menjadi pemimpin di tahun 2024🤟,0,0,0,1,in,1703411275353751552,1728589354581533071,Wiyanti333,https://twitter.com/Wiyanti333/status/1728778986145063215
Sun Nov 26 14:13:23 +0000 2023,1728778983225860167,@ganjarpranowo Pak Ganjar Taat menunjukkan komitmen yang tinggi terhadap tugasnya sebagai calob pemimpin dengan meneguhkan tiga jari dan tiga janji.,0,0,0,0,in,1644890151276122113,1728637081671622812,putra_dani_,https://twitter.com/putra_dani_/status/1728778983225860167
Sun Nov 26 14:13:23 +0000 2023,1728778982647103676,"@ganjarpranowo @mohmahfudmd orang baik, sederhana, peduli dan cinta dengan rakyat akan selalu dikelilingi beribu ribu lautan manusia yang menyambut dengan kebahagiaan kedatangan paslon yang akan menjadi pemimpin menuju Indonesia emas,,, 2024 menangkan pak Ganjar-mahfud",0,0,0,0,in,1709115884890103808,1728714029991161963,heyepo29309,https://twitter.com/heyepo29309/status/1728778982647103676
Sun Nov 26 14:13:23 +0000 2023,1728778982093447630,@officialinews_ pa ganjar is the best,0,0,0,0,in,1683505913427300353,1728564221309300778,AsepKevin168053,https://twitter.com/AsepKevin168053/status/1728778982093447630
Sun Nov 26 14:13:21 +0000 2023,1728778975294427550,Diskusi dengan anak muda dan mendengarkan aspirasi menjadi ciri khas Ganjar saat blusukan  .  tag || Chindo Kiki Tangkap Poso Islam Minahasa Lord Adi Manado GET WELL SOON KARINA Pak Mahfud Sederhana Kim Taehyung All of Us Are Dead Hindus Bitung|| https://t.co/eAXTaVOtRz,0,0,0,1,in,1708428566810238976,1728778975294427550,sk_mantan95,https://twitter.com/sk_mantan95/status/1728778975294427550
Sun Nov 26 14:13:21 +0000 2023,1728778975126708456,baru kali inj sebel ama mci gara2 ngundang ganjar pranowo asyu malah kampanye,0,0,0,0,in,1296122332310679552,1728778975126708456,afifahalss,https://twitter.com/afifahalss/status/1728778975126708456
Sun Nov 26 14:13:21 +0000 2023,1728778973386088448,@Nikmatul_Sg @ganjarpranowo @mohmahfudmd Bismillah salam tiga jari menangkan pasangan Ganjar Mahfud,0,0,0,0,in,1706282932766461952,1728761619566690620,diahsyifa62,https://twitter.com/diahsyifa62/status/1728778973386088448
Sun Nov 26 14:13:20 +0000 2023,1728778972765327556,"@VIVAcoid pak ganjar benar2 menerima aspirasi rakyat bahkan membantu memberi solusi jadi tidak heran kalau antusiasme masyarakat sekitar sanga tinggi, pak ganjar terbaik memang!",0,0,0,0,in,1700640535671889920,1728716256755523706,alfianinurfatwa,https://twitter.com/alfianinurfatwa/status/1728778972765327556
Sun Nov 26 14:13:17 +0000 2023,1728778956688499172,"@ganjarpranowo Pak Ganjar sebagai pemimpin yang dapat memperjuangkan kepentingan dan hak-hak suku Dayak, serta mempromosikan keragaman budaya dan kearifan lokal dalam kebijakan nasional",0,0,0,0,in,1598593790134038530,1728747081320554652,abe40001,https://twitter.com/abe40001/status/1728778956688499172
Sun Nov 26 14:13:15 +0000 2023,1728778949495304505,@KataNadiaaa puas banget saya ngeliat warga banyak yg hadir utk pak ganjar,0,0,0,0,in,1656643449670758400,1728756094246556021,veramouth,https://twitter.com/veramouth/status/1728778949495304505
Sun Nov 26 14:13:14 +0000 2023,1728778944587907185,"Tujuan kedatangan mereka tak lain ialah untuk bertemu dengan Calon Presiden RI Ganjar Pranowo. Ganjar, terinspirasi oleh curahan hati anak muda Pontianak.  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/PJpYqZffmT",0,0,0,0,in,1230994530083565568,1728778850480583064,sahabatganjar,https://twitter.com/sahabatganjar/status/1728778944587907185
Sun Nov 26 14:13:02 +0000 2023,1728778897477525593,"@adearmando61 Ganjar-Mahfud  Sebagai Piiihan saya sebagai Rakyat om. Teruji, Matang dan Jujur, dan Sangat Pantas.",0,0,0,0,in,2377262936,1728556738251829302,franzoki07,https://twitter.com/franzoki07/status/1728778897477525593
Sun Nov 26 14:12:58 +0000 2023,1728778879538442249,@Nikmatul_Sg @ganjarpranowo @mohmahfudmd Kebersamaan dan kolaborasi Pak Ganjar dan Pak Mahfud memberikan harapan baru untuk masa depan yang lebih baik 🥰,0,0,0,2,in,1684610381694767104,1728761619566690620,denosuya33,https://twitter.com/denosuya33/status/1728778879538442249
Sun Nov 26 14:12:57 +0000 2023,1728778873578389795,@tvOneNews Wihhh mantul pak ganjar ketemu romo beliau ini pakar ya guys yak. Makin yakin nih sama pak Ganjar 😌. Bismillah ya pak 2024,0,0,0,0,in,1728353929124331520,1728096932944572747,jaljhaaa,https://twitter.com/jaljhaaa/status/1728778873578389795
Sun Nov 26 14:12:52 +0000 2023,1728778854427423116,"@THEKAAAKAA LAYAAA GA MAKE SENSE NJIR , GANJAR NGAPAIN DISITU TUHANNNN",0,0,0,0,in,3277900796,1728762386960798135,inirimahujan,https://twitter.com/inirimahujan/status/1728778854427423116
Sun Nov 26 14:12:51 +0000 2023,1728778850480583064,"Suasana Warung Kopi Asiang, Kota Pontianak, Kalimantan Barat, mendadak ramai, Minggu (26/11) siang. Ratusan anak muda berduyun-duyun datang dari sejumlah daerah ke kafe kopi legendaris di kota tersebut.  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden… https://t.co/JNKxKF25oj",0,1,0,0,in,1230994530083565568,1728778850480583064,sahabatganjar,https://twitter.com/sahabatganjar/status/1728778850480583064
Sun Nov 26 14:12:49 +0000 2023,1728778842037170567,"@ganjarpranowo Salam Budaya Pak Ganjar,Makin Terdepan GAMA",0,0,0,0,in,1691726839008710656,1728747081320554652,dodicahyono66,https://twitter.com/dodicahyono66/status/1728778842037170567
Sun Nov 26 14:12:49 +0000 2023,1728778839822832046,Benar kata Trimedya ganjar cuma jago main medsos https://t.co/G71XK6jP4p,0,1,0,0,in,1210930281575632897,1728778839822832046,wellymerukh,https://twitter.com/wellymerukh/status/1728778839822832046
Sun Nov 26 14:12:48 +0000 2023,1728778836421349419,@jpnncom dukung terus Ganjar Mahfud,0,0,0,0,in,1561577921848180737,1728751240530796776,aureliadp06,https://twitter.com/aureliadp06/status/1728778836421349419
Sun Nov 26 14:12:45 +0000 2023,1728778825008382080,"@officialinews_ Semangat dan sukses terus pak ganjar mahfud,yakin dan optimis yang terbaik selalu bersama",0,0,0,0,in,1697018777572134912,1728456008358371540,nndaaawlndrii,https://twitter.com/nndaaawlndrii/status/1728778825008382080
Sun Nov 26 14:12:40 +0000 2023,1728778805269942726,"@KematianSelalu Gak heran, kan Perindo merapat ke Ganjar, jadi ya siap2 aja, tapi jangankan MCI, adzan aja si Ganjar Homelander putih aja ada, apalagi MCI wkwk, anyway Kiki deserve win, dan lagi2 MCI membuktikan lagi2 https://t.co/F1HBekJhU0",0,0,0,0,in,1411142861098143748,1728774664523301206,YareY4r3Daze,https://twitter.com/YareY4r3Daze/status/1728778805269942726
Sun Nov 26 14:12:38 +0000 2023,1728778795660763322,@ganjarpranowo Luar biasa,0,0,0,0,in,1694404623732469760,1728771896123199943,MalikAsep16980,https://twitter.com/MalikAsep16980/status/1728778795660763322
Sun Nov 26 14:12:37 +0000 2023,1728778791013498941,@officialinews_ pa ganjar is the best,0,0,0,0,in,1709432267796566016,1728564221309300778,isetwan18,https://twitter.com/isetwan18/status/1728778791013498941
Sun Nov 26 14:12:34 +0000 2023,1728778776123986227,@ganjarpranowo Keren sekali melihat Pak Ganjar menjalin hubungan baik dengan Dewan Adat Dayak di Pontianak.,0,0,0,0,in,1503217192191799298,1728747081320554652,cae_caelia,https://twitter.com/cae_caelia/status/1728778776123986227
Sun Nov 26 14:12:30 +0000 2023,1728778762592854455,@ganjarpranowo Semoga semangat luar biasa dari rakyat dapat memberikan dukungan kuat buat pak ganjar untuk pembangunan di daerah tersebut.,0,0,0,0,in,1631861602738921475,1728637081671622812,putra_jamari,https://twitter.com/putra_jamari/status/1728778762592854455
Sun Nov 26 14:12:30 +0000 2023,1728778761334673523,"@ganjarpranowo Yakin abis, kepemimpinan Pak Ganjar dan Pak Mahfud bakal buat Indonesia jadi negara hebat.",0,0,0,1,in,893094469163130880,1728747081320554652,348juta,https://twitter.com/348juta/status/1728778761334673523
Sun Nov 26 14:12:29 +0000 2023,1728778758788976746,@officialinews_ Always Ganjar Mahfud. Semoga di pemilu tahun depan jujur dan tidak ada kecurangan 🙏,0,0,0,0,in,1703453058477486080,1728731574785728947,Kurniarahma3451,https://twitter.com/Kurniarahma3451/status/1728778758788976746
