created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,target,paslon,date,lowercase
2023-12-05 20:33:06+07:00,1732030338812289507,APBD DKI Jakarta  sangat besar  mengapa waktu jd GABENER  dipakai untuk hibah ke Ormas ormas  tidak dipakai untuk bangun kota Jakarta ?  https://t.co/XJGsvt3b9e,0,6,15,32,id,938664737369341952,1732030338812289507,DoankWarto,https://twitter.com/DoankWarto/status/1732030338812289507,,Indonesia,Pres,Anies,P1,2023-12-05,apbd dki jakarta  sangat besar  mengapa waktu jd gabener  dipakai untuk hibah ke ormas ormas  tidak dipakai untuk bangun kota jakarta ?  https://t.co/xjgsvt3b9e
2023-12-07 18:41:53+07:00,1732727123943772398,Hahaha Solo maju juga karna bantuan Bapak Lu yg membangun banyak proyek Pusat di Solo dan menurunkan banyak menteri yg sering bolak balik ke Solo 🤣  Solo di Istimewahkan karna lu anak Presiden aje 🤣 https://t.co/AZTw2sSMYt,1,1,2,15,id,1516376765471813635,1732727123943772398,KepaArgawinata2,https://twitter.com/KepaArgawinata2/status/1732727123943772398,,Patung Kuda,Wapres,Gibran,P2,2023-12-07,hahaha solo maju juga karna bantuan bapak lu yg membangun banyak proyek pusat di solo dan menurunkan banyak menteri yg sering bolak balik ke solo 🤣  solo di istimewahkan karna lu anak presiden aje 🤣 https://t.co/aztw2ssmyt
2023-12-28 09:19:09+07:00,1740195652779614633,Modal usaha untuk keluarga Revan https://t.co/riKqcj4Ood,0,0,0,0,id,1444798439338901507,1740195652779614633,MuhaiminArdy,https://twitter.com/MuhaiminArdy/status/1740195652779614633,https://pbs.twimg.com/ext_tw_video_thumb/1740195608332468225/pu/img/Aow_mfCLS8mPsP3B.jpg,"Ngamprah, Indonesia",Wapres,Imin,P1,2023-12-28,modal usaha untuk keluarga revan https://t.co/rikqcj4ood
2023-12-05 08:07:01+07:00,1731842580579492217,@Esteht4war @bengkeldodo https://t.co/QR52Xm2nje ini bu kisi-kisinya  punya kuota kan? Hmmm,0,1,1,5,id,976487995300708354,1731624481985331596,zahidahmad85,https://twitter.com/zahidahmad85/status/1731842580579492217,,,Wapres,Imin,P1,2023-12-05,@esteht4war @bengkeldodo https://t.co/qr52xm2nje ini bu kisi-kisinya  punya kuota kan? hmmm
2023-12-19 20:50:48+07:00,1737108221654155692,orang gila ada lagi takut paslonnya kalah😂😂😂  https://t.co/pTq4SutGwF,0,8,5,21,id,1530146266822258688,1737108221654155692,zy_zy_its_me,https://twitter.com/zy_zy_its_me/status/1737108221654155692,,"DKI Jakarta, Indonesia",Pres,Prabowo,P2,2023-12-19,orang gila ada lagi takut paslonnya kalah😂😂😂  https://t.co/ptq4sutgwf
2023-12-17 09:44:26+07:00,1736215747771367806,jangan lupa ya main ke sini https://t.co/usGnXBKmBq,17,521,145,1419,id,1356478042797797377,1736215747771367806,gibran_tweet,https://twitter.com/gibran_tweet/status/1736215747771367806,https://pbs.twimg.com/media/GBhHBDGaMAAkQKh.jpg,,Wapres,Gibran,P2,2023-12-17,jangan lupa ya main ke sini https://t.co/usgnxbkmbq
2023-12-27 09:55:36+07:00,1739842439526101209,@k1mwia nitip  gua penasaran pen ntn,0,2,0,0,id,781191816246800384,1739837509629247519,scuvse,https://twitter.com/scuvse/status/1739842439526101209,,,Wapres,Mahfud,P3,2023-12-27,@k1mwia nitip  gua penasaran pen ntn
2023-12-19 17:37:44+07:00,1737059636279423474,Kok bisa ya gua baru masuk list,1,2,0,0,id,1539187907575296001,1737059636279423474,JAKExTARA,https://twitter.com/JAKExTARA/status/1737059636279423474,,,Wapres,Mahfud,P3,2023-12-19,kok bisa ya gua baru masuk list
2023-12-24 17:37:20+07:00,1738871471114785059,Pokoknya...  https://t.co/TZCgWwViUY,0,0,0,0,id,1624205113689804800,1738871471114785059,pri_rakhman,https://twitter.com/pri_rakhman/status/1738871471114785059,,,Wapres,Imin,P1,2023-12-24,pokoknya...  https://t.co/tzcgwwviuy
2023-12-05 20:48:41+07:00,1732034258750099526,BETUL KT BU MEGA  BARU BERKUASA SBT SDH SPT ORBA sejak 98 ga ada larangan u seni Kebebasan seni dilindungi  UU direktorat kebudayaan Baru kali ini polisi larang seni  u narasi politik  PRESIDEN NOW LBH DR ORBA rangkul orba khianati rakyat Khianati PDIP Ga malu2 langgar UU… https://t.co/470dSCrZ2c,3,7,62,118,id,1637841258231271424,1732034258750099526,Ganjar_Mahfud03,https://twitter.com/Ganjar_Mahfud03/status/1732034258750099526,https://pbs.twimg.com/ext_tw_video_thumb/1732033324095582208/pu/img/zHoeSS8I5VcQCPIn.jpg,Indonesia,Pres,Ganjar,P3,2023-12-05,betul kt bu mega  baru berkuasa sbt sdh spt orba sejak 98 ga ada larangan u seni kebebasan seni dilindungi  uu direktorat kebudayaan baru kali ini polisi larang seni  u narasi politik  presiden now lbh dr orba rangkul orba khianati rakyat khianati pdip ga malu2 langgar uu… https://t.co/470dscrz2c
2023-12-14 20:57:51+07:00,1735298055770185983,Allahuakbar 👊😇 https://t.co/rnT4DTEjhW,6,15,93,231,id,1622484956151975937,1735298055770185983,vanc1Bozz,https://twitter.com/vanc1Bozz/status/1735298055770185983,,,Akronim,AMin,P1,2023-12-14,allahuakbar 👊😇 https://t.co/rnt4dtejhw
2023-12-11 19:37:04+07:00,1734190562092499324,Emang boleh…?! 😄 https://t.co/6766cCz9xj,19,50,450,1438,id,1490116879,1734190562092499324,cakimiNOW,https://twitter.com/cakimiNOW/status/1734190562092499324,https://pbs.twimg.com/amplify_video_thumb/1734190441070026752/img/Mz6j7JHl7X10UFg4.jpg,Indonesia,Wapres,Imin,P1,2023-12-11,emang boleh…?! 😄 https://t.co/6766ccz9xj
2023-12-18 00:59:23+07:00,1736446004029964733,InsyaAllah Allah lindungi sampai pelantikan presiden... Aamiin...  https://t.co/CjqhfzXb8c,12,134,517,2113,id,1604091267834474498,1736446004029964733,Muslim_AntiPKI9,https://twitter.com/Muslim_AntiPKI9/status/1736446004029964733,,,Pres,Anies,P1,2023-12-18,insyaallah allah lindungi sampai pelantikan presiden... aamiin...  https://t.co/cjqhfzxb8c
2023-12-11 13:57:38+07:00,1734105143053046214,@HaramAsoy @Yattie2023 @Jason_scalper @ChallsOfrivia Untuk mencapai masa depan belajar dari masa lalu. 2019 masih diulangi tuh sujudnya?🤣🤣🤣🤣  Nihhh   https://t.co/pQFMZxDgss,0,3,0,0,id,217651975,1733834481042419991,Amotsky,https://twitter.com/Amotsky/status/1734105143053046214,,,Pres,Prabowo,P2,2023-12-11,@haramasoy @yattie2023 @jason_scalper @challsofrivia untuk mencapai masa depan belajar dari masa lalu. 2019 masih diulangi tuh sujudnya?🤣🤣🤣🤣  nihhh   https://t.co/pqfmzxdgss
2023-12-20 09:36:31+07:00,1737300920919322729,♆ Malah malas TS. 😭,0,3,0,0,id,991434230621188099,1737300920919322729,gamareksaa,https://twitter.com/gamareksaa/status/1737300920919322729,,The Volontaires.,Wapres,Mahfud,P3,2023-12-20,♆ malah malas ts. 😭
2023-12-12 22:42:29+07:00,1734599611401257130,@kegblgnunfaedh 3 Capres sepakat soal pemberantasan korupsi hingga akar-akarnya https://t.co/P5GVenMOff,3,7,1,36,id,132078023,1734597960447733900,officialinews_,https://twitter.com/officialinews_/status/1734599611401257130,,iNews Tower,Pres,Ganjar,P3,2023-12-12,@kegblgnunfaedh 3 capres sepakat soal pemberantasan korupsi hingga akar-akarnya https://t.co/p5gvenmoff
2023-12-11 11:46:06+07:00,1734072041110917515,https://t.co/pPpAaxpdRy  Gak bahaya tah?,0,0,0,0,id,232481439,1734072041110917515,gustinus_auki,https://twitter.com/gustinus_auki/status/1734072041110917515,,,Wapres,Imin,P1,2023-12-11,https://t.co/pppaaxpdry  gak bahaya tah?
2023-12-11 06:28:52+07:00,1733992205797474632,@Andria75777 Masya Allah Selamat ya dik,0,0,0,0,id,2204929734,1733898031517605932,amin_muhaimin1,https://twitter.com/amin_muhaimin1/status/1733992205797474632,,Jakarta,Wapres,Imin,P1,2023-12-11,@andria75777 masya allah selamat ya dik
2023-12-11 13:52:16+07:00,1734103792067682620,Sudah fixed ya... Jangan di perdebatkan lagi  https://t.co/6ixZOsCz9z,0,0,1,1,id,1332239044978216960,1734103792067682620,Demokos1,https://twitter.com/Demokos1/status/1734103792067682620,,,Wapres,Imin,P1,2023-12-11,sudah fixed ya... jangan di perdebatkan lagi  https://t.co/6ixzoscz9z
2023-12-25 11:09:27+07:00,1739136245845102640,https://t.co/pq1GOD7P4b  Katanya disuruh Presiden  cari dimana kebocoran bea dan pajak.   Giliran dibuka Rp 349 Trilyun. JKW bungkam.   Case closed..??,0,0,1,1,id,1542540315835260929,1739136245845102640,hamas191,https://twitter.com/hamas191/status/1739136245845102640,,,Akronim,GaMa,P3,2023-12-25,https://t.co/pq1god7p4b  katanya disuruh presiden  cari dimana kebocoran bea dan pajak.   giliran dibuka rp 349 trilyun. jkw bungkam.   case closed..??
2023-12-17 19:15:58+07:00,1736359578152116526,@berlianidris Ternyata TKN 02 memilih BUNGKAM atas kasus ini... Tanya kenapa? https://t.co/cHwtF4xNmU,0,0,1,2,id,1653948686098124800,1736073969395245562,Nalar_Politik,https://twitter.com/Nalar_Politik/status/1736359578152116526,https://pbs.twimg.com/media/GBjJ1LJbkAAcmIk.jpg,Indonesia,Wapres,Gibran,P2,2023-12-17,@berlianidris ternyata tkn 02 memilih bungkam atas kasus ini... tanya kenapa? https://t.co/chwtf4xnmu
2023-12-20 10:12:10+07:00,1737309892913086898,Kagum tengok betapa konsisten rakyat Malaysia boikot hari ni..,3,1,99,287,id,2179498534,1737309892913086898,_muhaimin26,https://twitter.com/_muhaimin26/status/1737309892913086898,,"Kuala Lumpur, Wilayah Persekut",Wapres,Imin,P1,2023-12-20,kagum tengok betapa konsisten rakyat malaysia boikot hari ni..
2023-12-09 17:48:10+07:00,1733438381374492751,Kalo kesalahan ucap asam sulfat lebih parah ya dr soal kesalahan Menkopolhukamnya 🤦 https://t.co/Y4llKrCEjm,0,1,1,7,id,1614470115210457090,1733438381374492751,G4b0nGOKU,https://twitter.com/G4b0nGOKU/status/1733438381374492751,,"DKI Jakarta, Indonesia",Akronim,GaMa,P3,2023-12-09,kalo kesalahan ucap asam sulfat lebih parah ya dr soal kesalahan menkopolhukamnya 🤦 https://t.co/y4llkrcejm
2023-12-23 18:56:11+07:00,1738528927243747423,Andi WIdjajanto menyayangkan adanya pertanyaan singkatan yang bisa menurunkan kualitas debat dan cuma bisa menghasilkan presiden penghapal. https://t.co/L688QoahfC,9,30,67,253,id,23343960,1738528927243747423,kompascom,https://twitter.com/kompascom/status/1738528927243747423,,Jakarta,Akronim,GaMa,P3,2023-12-23,andi widjajanto menyayangkan adanya pertanyaan singkatan yang bisa menurunkan kualitas debat dan cuma bisa menghasilkan presiden penghapal. https://t.co/l688qoahfc
