created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,target,paslon,date
2023-12-15 08:47:35+07:00,1735476667836252576,@msaid_didu @andre_rosiade Gua boong lu ketipu @fadlizon @prabowo https://t.co/eBietG7b40,10,30,52,85,id,878487191386705920,1735228969103110412,Fargus00200873,https://twitter.com/Fargus00200873/status/1735476667836252576,https://pbs.twimg.com/media/GBWm1PjasAAhQYk.jpg,Indonesia,Pres,Prabowo,P2,2023-12-15
2023-12-25 13:22:12+07:00,1739169655603052626,Ganjar Mahfud  2.500 T untuk semua harapan rakyat  dari pendidikan  kesehatan  rumah layak  hingga kesejahteraan. Bandingkan dgn 02  2000 T hny untuk makan siang gratis.😝  Internet Gratis Ganjar dan KTPSakti Trending  Netizen: Ganjar Mahfud Solusi Rakyat. https://t.co/nq9exdmJBL,4,27,74,240,id,154435354,1739169655603052626,ch_chotimah2,https://twitter.com/ch_chotimah2/status/1739169655603052626,,"Kalimantan Timur, Indonesia",Akronim,GaMa,P3,2023-12-25
2023-12-26 05:02:28+07:00,1739406281109303535,"Ngga Bahaya' Tah.. Solo Malam Ini Bung.. Belum tadi Di Pekalongan Panjang Massa nya Sampai 10km.  2024 Anies Jadi PRESIDEN Kalau ngga Curang..👍👌✊💪☝️😉🤩🇮🇩  *AMIN NO. 1"" Coblos di hari Rabu  14 Februari 2024* 🇮🇩❤️🇵🇸  IN SYAA ALLAH  AMIN ( ANIS - MUHAIMIN )  🤲🤲 https://t.co/0RF4eNno4f""",0,0,0,0,id,1595461629465927690,1739406281109303535,LeaRamdhan,https://twitter.com/LeaRamdhan/status/1739406281109303535,https://pbs.twimg.com/ext_tw_video_thumb/1739406177849712640/pu/img/N2vf7yW35GsfTTde.jpg,,Wapres,Imin,P1,2023-12-26
2023-12-13 21:00:49+07:00,1734936414863999261,@Rakha_boumi @Chophas_27 Oalaaah kirain nama bimbel kaya ganesha operation 🤣  ada siapa dikubu gama emang om?,0,2,0,1,id,1708049619232698368,1734909347053088922,arkhamclinic,https://twitter.com/arkhamclinic/status/1734936414863999261,,hell lobby,Wapres,Mahfud,P3,2023-12-13
2023-12-14 00:34:01+07:00,1734990066379071948,buset.. Pendukung Prabowo kenapa jadi banyak yg kayak pendukung Ahok dulu dah,0,5,8,39,id,59809831,1734990066379071948,xopch,https://twitter.com/xopch/status/1734990066379071948,,,Pres,Prabowo,P2,2023-12-14
2023-12-16 05:30:20+07:00,1735789415841308829,Ini video pengakuan Pak Mahfud bahwa Pak Prabowo adalah sosok yang sportif dan bersih korupsi. Video dibuat ketika Pak Mahfud masih jadi menteri. Senang mendengar pengakuan jujur ini. https://t.co/zwqkbxxFAU,23,270,112,365,id,1647786833148018691,1735789415841308829,adearmando61,https://twitter.com/adearmando61/status/1735789415841308829,https://pbs.twimg.com/ext_tw_video_thumb/1735789392357363712/pu/img/o43iUdKYbvkyNYkR.jpg,,Pres,Prabowo,P2,2023-12-16
2023-12-14 19:37:32+07:00,1735277845273018837,Prabowo blunder lgi... pinginnya nyerang pak Ganjar soal kepangkaan pupuk di Jateng.. Pak Prabs  klo mau bicara lihat konteks dlu ya  lihat data ya  jgn karena ilusi saja.. Pupuk langka d slruh kabupaten/kota di Indonesia. Karena apa? Ya karena kuotanya terbatas sekali.  Knapa… https://t.co/jzc3GDGxHL,3,5,37,65,id,2431310970,1735277845273018837,wantahgdn__,https://twitter.com/wantahgdn__/status/1735277845273018837,https://pbs.twimg.com/ext_tw_video_thumb/1735277535347523584/pu/img/kH-_949VkAXhG5hk.jpg,"East Java, Indonesia",Pres,Prabowo,P2,2023-12-14
2023-12-15 17:32:17+07:00,1735608711421608325,Ekonom Handal Indonesia Thomas Lembong memilih bergabung dgn AMIN  karna  Meyakini AMIN Memiliki Landasan Moral yg Paling Kuat  Yang Punya Landasan Nurani yg Paling Tulus  &amp; AMIN Tidak pernah bicara Kekuasaan  Karna Kekuasaan itu milik Rakyat. https://t.co/xRmRkR0UEo,30,2,1343,2164,id,812336286107189249,1735608711421608325,ronaldy596,https://twitter.com/ronaldy596/status/1735608711421608325,https://pbs.twimg.com/ext_tw_video_thumb/1735607858216230912/pu/img/aDh5X638G8dhr11v.jpg,,Akronim,AMin,P1,2023-12-15
2023-12-24 15:54:28+07:00,1738845587603358030,"Jadi maksudnya Pak Anies adalah aku ini gak sempurna  dan aku butuh kamu disampingku. Jadi ayo kita usaha bareng. Nggak mudah memang. Tapi bukan nggak mungkin. Please.... I'm nothing without you! """"",51,35,1571,4744,id,893279059253149697,1738845587603358030,MasYen_,https://twitter.com/MasYen_/status/1738845587603358030,,"Bekasi Timur, Indonesia",Pres,Anies,P1,2023-12-24
2023-12-16 19:21:54+07:00,1735998686759620937,Tolong nanti masalah food estate ini juga di tanyakan ke Prabowo pak @aniesbaswedan https://t.co/FnZOUkJKeN,1,2,13,32,id,1710581142733352960,1735998686759620937,sadriwalfarouq,https://twitter.com/sadriwalfarouq/status/1735998686759620937,https://pbs.twimg.com/ext_tw_video_thumb/1735725564118568962/pu/img/kvtvdupcgtDpM-tg.jpg,,Pres,Prabowo,P2,2023-12-16
2023-12-24 19:37:24+07:00,1738901688851804452,@iwanfals 14 Februari 2024 Anies Muhaimin dicari Orang Indonesia  Untuk Memimpin Bangsa INDONESIA https://t.co/0L2Tk6DWzV,0,0,1,16,id,1592997260602019840,1738899954830397698,JParidjal,https://twitter.com/JParidjal/status/1738901688851804452,https://pbs.twimg.com/media/GCHR3sTbMAATGmf.jpg,,Wapres,Imin,P1,2023-12-24
2023-12-28 09:15:12+07:00,1740194658746277933,Mulai saat ini sampai akhir masa kampanye Gaungkan #AsalBukanPrabowo disemua platform media sosial  ( X FB IG YT TikTok )  yg setuju ASAL BUKAN PRABOWO u  mari : 1.Apapun Tweet anda  sertakan tagar #AsalBukanPrabowo  2. RT  Like dan komen semua cuitan bertagar https://t.co/KJ8iN8Dztu,0,4,14,28,id,2311901628,1740194658746277933,BinNuh_,https://twitter.com/BinNuh_/status/1740194658746277933,https://pbs.twimg.com/media/GCZpXkUbMAA21Kn.jpg,"Ait Harz Allah, Royaume du Mar",Pres,Prabowo,P2,2023-12-28
